
> backend@1.0.0 test
> jest --testMatch '**/?(*.)+(test).ts'

DELETE /clear 200
POST /trips/new 200
POST /trips/new 200
GET /trips 200
GET /trips/Trip25b35cbf-6d96-4609-8fb3-aaaee800ee0e 200
DELETE /trips/remove/Trip25b35cbf-6d96-4609-8fb3-aaaee800ee0e 200
GET /trips/Trip25b35cbf-6d96-4609-8fb3-aaaee800ee0e 403
PUT /trips/update/Tripf4f290d3-1b33-4864-b0d4-443c5451e47d 200
GET /trips/Tripf4f290d3-1b33-4864-b0d4-443c5451e47d 200
POST /trips/new 200
GET /trips 200
POST /splits/new/Trip041799fb-b5c7-415f-b582-9cae11f55714 200
POST /splits/new/Trip041799fb-b5c7-415f-b582-9cae11f55714 200
GET /splits/Trip041799fb-b5c7-415f-b582-9cae11f55714 200
GET /splits/Trip041799fb-b5c7-415f-b582-9cae11f55714/Splitb109aad7-61b5-41ba-9ce5-7f833dfa15f3 200
GET /splits/Trip041799fb-b5c7-415f-b582-9cae11f55714/Splite8067ee3-85a6-4ff6-8ef1-13edddb50d83 200
DELETE /splits/remove/Trip041799fb-b5c7-415f-b582-9cae11f55714/Splitb109aad7-61b5-41ba-9ce5-7f833dfa15f3 200
GET /splits/Trip041799fb-b5c7-415f-b582-9cae11f55714/Splitb109aad7-61b5-41ba-9ce5-7f833dfa15f3 403
PUT /splits/update/Trip041799fb-b5c7-415f-b582-9cae11f55714/Splite8067ee3-85a6-4ff6-8ef1-13edddb50d83 200
GET /splits/Trip041799fb-b5c7-415f-b582-9cae11f55714/Splite8067ee3-85a6-4ff6-8ef1-13edddb50d83 200
POST /trips/new 200
POST /splits/new/Trip12e9dc20-acd9-4ca6-a7d5-904bc0427eb2 200
POST /hotels/new/Trip12e9dc20-acd9-4ca6-a7d5-904bc0427eb2/Split03e06985-62b1-4b29-bbf5-739dcf2edf8f 200
POST /hotels/new/Trip12e9dc20-acd9-4ca6-a7d5-904bc0427eb2/Split03e06985-62b1-4b29-bbf5-739dcf2edf8f 200
GET /hotels/Trip12e9dc20-acd9-4ca6-a7d5-904bc0427eb2/Split03e06985-62b1-4b29-bbf5-739dcf2edf8f 200
GET /hotels/Trip12e9dc20-acd9-4ca6-a7d5-904bc0427eb2/Split03e06985-62b1-4b29-bbf5-739dcf2edf8f/Hotela6dba30d-b069-4732-afb7-802ce95b935f 200
GET /hotels/Trip12e9dc20-acd9-4ca6-a7d5-904bc0427eb2/Split03e06985-62b1-4b29-bbf5-739dcf2edf8f/Hotel6059b4ee-a69b-4de6-abdd-742ad8b6b8f4 200
DELETE /hotels/remove/Trip12e9dc20-acd9-4ca6-a7d5-904bc0427eb2/Split03e06985-62b1-4b29-bbf5-739dcf2edf8f/Hotela6dba30d-b069-4732-afb7-802ce95b935f 200
GET /hotels/Trip12e9dc20-acd9-4ca6-a7d5-904bc0427eb2/Split03e06985-62b1-4b29-bbf5-739dcf2edf8f/Hotela6dba30d-b069-4732-afb7-802ce95b935f 403
PUT /hotels/update/Trip12e9dc20-acd9-4ca6-a7d5-904bc0427eb2/Split03e06985-62b1-4b29-bbf5-739dcf2edf8f/Hotel6059b4ee-a69b-4de6-abdd-742ad8b6b8f4 200
GET /hotels/Trip12e9dc20-acd9-4ca6-a7d5-904bc0427eb2/Split03e06985-62b1-4b29-bbf5-739dcf2edf8f/Hotel6059b4ee-a69b-4de6-abdd-742ad8b6b8f4 200
POST /trips/new 200
POST /splits/new/Tripe1d54cbb-ccf5-4457-abe0-510c9663a396 200
POST /hotels/new/Tripe1d54cbb-ccf5-4457-abe0-510c9663a396/Split9d1f90e9-23d5-49dd-955e-bca1af96b4bf 200
POST /rooms/new/Tripe1d54cbb-ccf5-4457-abe0-510c9663a396/Split9d1f90e9-23d5-49dd-955e-bca1af96b4bf/Hotel48fbca6c-9462-4117-9319-c7e90dec6401 200
POST /rooms/new/Tripe1d54cbb-ccf5-4457-abe0-510c9663a396/Split9d1f90e9-23d5-49dd-955e-bca1af96b4bf/Hotel48fbca6c-9462-4117-9319-c7e90dec6401 200
GET /rooms/Tripe1d54cbb-ccf5-4457-abe0-510c9663a396/Split9d1f90e9-23d5-49dd-955e-bca1af96b4bf/Hotel48fbca6c-9462-4117-9319-c7e90dec6401 200
GET /rooms/Tripe1d54cbb-ccf5-4457-abe0-510c9663a396/Split9d1f90e9-23d5-49dd-955e-bca1af96b4bf/Hotel48fbca6c-9462-4117-9319-c7e90dec6401/Room95628dd0-54e4-4aae-b090-5b9de766e47f 200
GET /rooms/Tripe1d54cbb-ccf5-4457-abe0-510c9663a396/Split9d1f90e9-23d5-49dd-955e-bca1af96b4bf/Hotel48fbca6c-9462-4117-9319-c7e90dec6401/Room707bd9db-9352-48b0-a88e-c78963497446 200
